Object Tracking Data File Wed, Oct 12, 2022 5:55 PM
X (pixels)  	Y (pixels)  
451.25	490.51
445.26	483.14
448.17	486.53
446.64	489.14
444.14	494.41
440.80	496.58
437.22	494.52
435.54	497.44
437.58	497.21
439.83	494.11
437.56	493.24
436.62	493.70
439.35	500.98
438.55	499.84
445.19	507.73
447.32	504.88
454.71	500.53
456.98	500.20
462.52	503.59
464.13	506.19
467.28	513.03
472.59	515.87
470.49	517.37
475.08	519.95
476.61	518.34
477.12	523.08
479.54	523.73
487.76	524.18
487.45	521.94
485.43	525.85
489.77	535.71
487.85	533.96
490.67	541.32
487.58	541.18
480.93	540.89
485.72	539.48
483.56	536.15
490.01	535.02
488.82	537.31
488.83	536.12
491.44	535.00
495.51	534.75
502.26	529.12
500.80	535.93
497.78	533.08
497.71	536.89
499.59	530.08
493.63	522.68
495.53	517.72
496.12	522.44
499.18	526.32
495.68	526.13
497.12	524.19
495.76	525.88
495.62	501.98
502.17	531.54
493.90	529.69
496.21	528.42
501.57	527.82
504.42	524.03
500.81	532.81
503.96	532.26
503.19	532.41
501.30	530.31
497.44	527.22
487.61	527.34
486.29	530.93
487.74	527.58
490.24	522.55
490.65	526.81
496.50	529.95
500.59	523.32
499.67	523.41
506.34	525.46
502.62	519.96
498.13	522.13
497.45	517.77
494.73	513.56
489.99	505.80
496.23	507.91
489.73	504.06
493.37	506.86
488.47	509.83
485.86	500.76
485.82	496.18
484.68	503.61
485.61	494.53
489.44	493.71
493.86	495.31
495.81	499.77
492.95	507.17
495.16	506.77
492.03	503.66
487.84	509.75
491.49	510.11
496.74	504.29
493.48	498.86
495.97	500.26
500.24	494.91
503.54	496.47
496.12	492.80
494.44	497.93
489.55	494.77
493.71	497.53
489.73	495.12
487.71	495.28
486.33	498.78
486.97	504.46
483.28	513.24
481.52	517.02
481.36	514.77
478.13	506.77
481.90	503.04
486.24	499.50
482.11	499.21
486.34	496.16
481.41	493.50
479.14	497.06
476.61	495.23
474.71	497.15
