Object Tracking Data File Wed, Oct 12, 2022 5:54 PM
X (pixels)  	Y (pixels)  
633.44	609.17
632.61	608.42
631.84	612.07
628.30	609.88
634.22	605.75
629.91	609.95
629.73	610.66
627.44	614.52
627.88	619.72
626.38	622.59
630.53	625.65
627.52	629.00
635.55	624.16
631.57	627.18
626.03	635.46
617.54	634.01
620.62	635.01
627.64	625.89
630.87	623.79
624.36	624.15
625.23	617.05
635.79	617.23
648.60	620.96
653.24	621.84
651.25	623.98
647.31	628.33
650.67	633.20
651.77	636.97
657.46	637.90
651.19	630.57
657.28	627.99
665.25	627.77
667.90	626.91
671.92	620.10
669.29	626.57
662.83	623.09
662.22	624.68
664.43	624.22
659.92	629.09
663.52	628.77
663.80	632.70
666.75	631.43
670.56	627.27
668.54	625.71
667.65	632.54
670.45	630.77
672.26	627.21
672.23	623.95
669.39	627.25
667.50	625.70
665.81	625.09
662.45	635.22
660.00	640.03
657.69	642.32
655.99	647.14
662.20	649.75
661.91	648.94
668.01	653.22
666.95	651.62
664.80	648.29
665.64	658.86
664.82	659.58
670.41	667.03
677.02	667.33
677.56	670.04
673.31	672.33
668.91	666.51
670.69	661.90
664.81	662.17
667.98	659.16
661.98	658.94
665.78	660.50
653.95	661.28
650.80	657.40
655.07	660.52
658.86	661.65
660.12	669.91
653.51	667.23
650.47	666.29
656.42	665.12
654.23	669.54
645.01	674.49
648.21	680.98
646.90	681.61
640.99	683.30
644.63	680.67
645.38	682.17
642.39	688.63
643.64	690.48
640.05	685.48
644.49	683.48
647.72	676.64
650.19	683.22
665.74	693.43
659.68	691.84
656.02	688.33
648.81	687.56
645.53	688.67
653.61	683.22
652.71	686.09
647.24	688.72
652.67	693.00
652.16	688.25
648.43	683.22
660.20	681.79
651.13	689.14
649.24	688.54
650.46	688.90
647.50	687.14
649.26	691.82
648.54	696.10
656.52	692.72
656.27	681.84
646.21	678.80
646.74	687.02
649.60	683.49
655.51	684.09
656.73	676.94
656.78	676.23
661.34	671.22
