Object Tracking Data File Wed, Oct 12, 2022 5:41 PM
X (pixels)  	Y (pixels)  
423.94	376.73
421.60	377.57
423.60	376.67
424.31	381.02
421.19	387.25
415.17	393.52
414.28	392.72
415.37	395.68
416.93	400.59
419.99	397.54
418.99	399.26
414.47	401.27
415.79	402.02
412.94	397.44
410.37	402.07
413.66	410.01
408.99	414.78
410.49	412.30
417.76	409.34
418.18	403.79
418.49	409.70
419.47	405.82
429.11	403.94
428.64	407.80
433.61	410.06
433.05	408.56
436.07	412.27
441.05	408.33
441.12	401.68
442.29	399.33
440.58	400.67
442.11	399.16
439.92	399.19
442.41	401.02
440.85	398.48
450.37	400.78
451.68	400.44
457.52	406.02
461.13	406.44
466.74	405.85
465.01	404.30
462.77	411.51
457.53	411.22
458.68	416.14
450.56	418.17
452.28	420.09
450.72	408.73
447.72	407.80
447.78	406.42
446.99	400.49
444.88	399.15
445.43	389.81
441.11	389.30
435.53	393.37
432.06	393.03
430.34	386.75
437.08	382.06
429.63	381.33
425.15	384.80
430.59	385.59
429.33	386.46
422.25	388.63
424.35	386.75
428.76	388.72
421.93	388.25
429.00	383.89
437.33	388.61
436.32	383.32
445.52	383.84
448.25	389.21
453.65	400.01
452.65	397.22
452.61	408.48
450.41	415.89
443.90	416.28
447.88	404.47
438.86	407.30
437.20	415.80
432.94	411.37
436.05	409.64
435.75	411.95
433.10	415.31
437.50	415.48
441.25	412.51
440.01	424.93
442.71	422.13
440.62	418.50
441.88	418.06
439.22	422.64
440.68	417.46
442.68	419.55
443.03	420.70
445.99	421.13
447.23	421.69
445.96	425.31
441.62	430.25
439.69	431.55
442.84	434.34
437.24	429.44
442.17	438.22
441.53	440.27
436.87	444.49
431.26	438.34
434.75	436.71
434.13	433.37
435.13	430.06
432.76	432.40
435.92	436.20
437.03	439.07
434.00	437.43
429.98	439.32
431.61	441.85
428.79	441.39
429.71	442.14
421.71	439.46
421.61	438.70
429.37	439.41
428.40	448.58
429.88	450.63
436.15	450.29
