Object Tracking Data File Wed, Oct 12, 2022 5:45 PM
X (pixels)  	Y (pixels)  
372.01	242.97
370.23	245.15
372.69	241.26
372.81	242.90
373.45	242.94
376.09	239.12
374.76	239.19
371.46	244.25
371.62	241.61
382.18	242.17
383.28	243.03
383.94	247.22
382.48	247.13
383.52	248.57
383.93	259.84
386.19	261.18
387.44	253.10
385.68	251.11
389.61	251.93
390.27	259.48
393.53	266.16
399.37	271.83
402.40	264.92
410.25	269.16
405.81	274.44
404.19	270.12
403.39	269.59
397.23	271.26
397.09	278.81
392.63	284.07
390.61	287.67
394.45	287.31
394.59	282.85
394.33	281.78
394.99	275.89
402.72	273.94
402.41	268.91
401.90	262.42
405.52	265.36
401.46	265.12
403.55	265.07
411.75	264.57
411.28	263.12
412.29	265.81
415.56	274.78
415.33	271.96
410.97	276.07
410.23	276.30
418.65	276.38
417.24	264.83
414.74	263.02
415.01	261.89
412.46	259.68
418.60	253.01
417.28	257.00
424.06	251.99
420.81	260.89
420.93	268.65
415.62	268.92
410.68	263.44
422.21	261.50
418.16	261.07
415.70	249.84
424.03	259.26
421.22	257.08
424.38	251.37
429.04	250.33
429.47	251.60
423.01	254.73
424.49	258.75
423.47	258.56
423.91	259.54
422.06	257.85
419.87	258.42
412.74	249.60
407.69	239.72
411.11	236.22
401.23	239.77
406.19	244.14
403.65	239.60
401.48	235.60
396.94	234.47
407.83	228.18
410.07	222.35
410.32	214.27
410.79	216.77
412.61	210.46
420.51	214.34
420.28	212.79
420.81	210.22
422.43	208.24
423.88	207.21
424.08	213.79
420.92	208.37
425.37	208.95
421.03	205.10
423.08	203.90
424.61	200.54
425.14	203.06
422.59	206.37
425.57	200.58
426.67	202.55
418.79	204.19
422.06	207.13
422.98	214.86
421.02	215.89
420.31	217.03
423.63	209.08
425.59	209.64
428.03	211.62
432.50	214.29
435.80	214.42
438.07	214.08
436.12	209.06
442.98	203.27
447.00	202.81
448.41	199.05
447.02	198.05
448.86	202.46
450.22	209.35
