Object Tracking Data File Wed, Oct 12, 2022 5:50 PM
X (pixels)  	Y (pixels)  
326.31	328.68
326.33	321.43
330.25	324.97
335.12	330.61
332.97	334.26
326.75	340.48
325.66	338.12
323.67	333.29
323.86	334.55
314.53	339.17
311.21	345.51
312.97	347.08
307.75	342.20
305.01	341.33
303.08	336.87
304.46	338.44
299.85	339.34
296.32	334.79
294.67	331.96
291.38	329.50
279.32	336.65
287.05	338.50
286.26	337.80
290.24	338.27
283.01	340.94
284.05	341.88
290.36	344.29
288.81	342.98
287.47	336.74
290.02	344.14
290.60	344.46
294.27	341.19
297.16	345.07
298.60	352.74
296.12	349.36
299.02	356.44
300.44	358.39
295.44	361.50
300.21	359.07
292.91	365.96
303.32	366.25
302.01	361.13
311.92	361.98
307.84	360.64
302.38	361.95
293.48	361.02
296.59	366.52
297.90	370.17
291.36	375.92
288.22	376.95
276.87	379.10
279.21	388.69
287.43	391.73
291.39	394.32
293.75	401.81
294.09	398.69
292.02	395.02
293.98	396.92
300.41	396.61
307.17	396.40
309.35	398.88
317.14	392.49
324.03	387.63
328.67	387.70
328.86	379.26
331.15	382.91
325.97	378.97
327.03	383.90
327.74	389.87
333.75	393.40
332.22	397.07
329.69	398.70
334.38	396.19
331.64	391.84
332.63	386.81
334.20	388.15
343.20	392.84
343.57	393.81
345.23	391.91
347.08	389.28
340.48	384.74
338.25	385.70
338.24	387.03
335.90	383.32
340.32	389.66
339.22	390.03
340.66	394.99
339.14	400.86
340.13	397.86
335.31	401.64
334.21	406.63
342.65	405.26
346.53	403.84
347.45	407.96
336.56	406.54
337.93	404.82
332.30	407.48
336.85	400.87
341.17	403.51
351.86	406.25
344.09	411.27
350.43	410.10
347.90	415.29
344.87	420.11
345.05	421.97
348.74	429.74
348.16	428.18
352.48	427.72
360.52	427.49
360.93	424.07
356.47	418.50
347.89	421.11
351.33	426.03
355.61	431.46
361.24	430.68
354.37	434.95
356.62	429.65
361.24	424.75
357.05	417.75
352.26	416.58
