Object Tracking Data File Wed, Oct 12, 2022 5:47 PM
X (pixels)  	Y (pixels)  
1063.12	568.38
1063.69	570.76
1062.47	570.94
1059.98	571.88
1057.63	571.59
1050.07	569.01
1050.30	571.32
1044.04	574.51
1040.46	580.03
1032.69	579.07
1033.84	581.56
1028.85	581.19
1027.71	585.32
1031.03	585.08
1023.09	588.70
1018.68	591.29
1011.51	599.62
1015.33	599.35
1018.67	596.51
1021.50	594.25
1016.48	599.51
1015.78	597.12
1015.07	602.15
1010.96	598.35
1007.58	589.94
1009.92	586.69
1004.60	589.11
997.51	587.51
996.35	583.12
996.78	582.07
995.36	585.14
999.25	592.91
1001.53	592.24
999.17	591.99
998.30	597.43
1005.25	597.60
1010.68	596.58
1006.80	589.07
1004.51	584.77
1001.87	587.13
1002.32	591.98
1000.57	586.02
992.11	583.02
988.07	584.30
984.53	583.19
983.25	583.98
988.27	585.86
988.87	588.36
988.87	587.90
988.83	587.69
985.89	581.47
984.21	580.54
982.01	583.84
983.72	585.65
976.80	586.65
974.51	590.81
981.98	593.92
977.99	590.93
977.01	584.94
974.78	586.05
978.18	589.06
987.11	591.79
992.18	594.03
991.81	599.42
989.64	599.86
994.23	598.73
990.35	594.78
990.73	598.94
990.49	591.67
991.42	591.46
988.06	593.22
989.61	590.24
990.09	597.45
986.12	599.10
980.16	595.84
980.72	601.67
978.48	599.46
976.07	605.80
975.01	598.29
972.75	596.55
967.88	596.44
974.35	595.59
970.12	597.68
973.53	595.86
970.47	593.57
973.13	593.60
968.32	591.55
969.20	589.26
962.65	592.87
960.00	590.68
959.99	593.70
963.80	593.52
967.64	595.96
970.94	593.68
972.81	589.32
975.98	591.28
977.75	598.18
982.06	603.55
975.16	603.32
969.76	607.95
967.31	608.70
970.04	604.01
968.80	600.47
962.54	608.79
973.50	611.36
958.41	609.99
975.32	611.05
972.78	618.70
974.37	618.36
973.63	623.38
973.35	620.82
978.77	619.98
975.53	619.93
972.45	623.18
956.33	622.01
949.47	623.29
951.16	626.02
950.17	630.48
940.32	639.02
945.06	638.02
