Object Tracking Data File Wed, Oct 12, 2022 5:49 PM
X (pixels)  	Y (pixels)  
278.55	569.23
286.39	565.11
285.83	564.64
284.59	563.36
284.42	569.32
286.65	571.63
281.99	571.53
278.06	575.12
272.36	577.45
276.92	576.08
281.36	575.89
281.19	574.94
282.03	583.02
287.23	579.73
286.58	573.35
293.43	576.50
291.97	581.31
287.76	584.76
289.07	592.28
286.64	586.81
287.85	588.38
282.08	584.64
279.68	586.57
278.09	582.58
274.74	587.47
275.74	589.43
274.58	591.74
274.92	596.17
270.56	593.42
272.19	598.09
278.29	600.16
282.97	598.32
283.71	597.05
286.53	596.68
286.43	599.15
287.34	595.78
286.14	591.73
284.09	590.24
286.61	590.86
288.84	586.60
287.90	585.14
284.91	585.07
277.95	587.17
272.92	588.64
271.32	589.14
267.72	587.05
264.41	579.39
245.54	583.52
245.02	584.58
244.20	590.65
241.42	589.66
234.34	592.23
236.45	601.61
229.74	600.94
228.56	599.45
232.33	599.28
232.49	602.63
233.13	598.84
235.49	607.20
238.10	608.91
243.13	611.40
234.66	608.25
234.46	606.87
276.62	606.22
284.04	606.23
284.90	613.69
285.80	613.84
283.34	610.99
279.37	617.64
276.47	620.25
272.90	615.77
268.30	618.27
255.39	609.07
257.25	608.14
246.15	612.08
246.20	611.94
243.67	608.67
247.55	607.86
246.02	609.86
238.42	611.98
233.95	611.22
228.43	610.18
219.29	603.93
218.60	605.51
215.73	599.22
208.27	600.83
217.01	606.97
211.84	612.59
212.47	608.46
214.50	602.28
217.03	599.03
214.07	601.28
207.14	606.24
204.54	609.16
197.09	606.38
196.24	606.67
196.62	603.82
198.27	606.70
196.44	602.66
194.42	607.82
190.75	608.67
187.02	606.05
184.53	609.34
183.09	612.91
182.34	622.76
172.60	618.63
167.77	621.65
168.09	622.24
175.09	626.05
169.09	629.93
171.42	630.20
167.81	628.45
168.93	630.16
172.47	627.53
169.76	627.62
168.36	628.89
161.84	623.38
164.16	625.00
160.21	630.09
163.30	628.60
