Object Tracking Data File Wed, Oct 12, 2022 5:57 PM
X (pixels)  	Y (pixels)  
1094.29	498.96
1097.48	498.72
1093.66	495.78
1088.54	491.90
1092.28	488.91
1089.00	486.19
1091.97	490.36
1088.77	483.48
1094.16	484.49
1090.75	482.26
1090.84	476.90
1092.42	477.83
1086.32	474.81
1084.61	468.91
1083.62	470.73
1086.29	473.96
1084.20	481.68
1088.63	477.22
1085.56	473.56
1088.11	467.53
1093.23	459.84
1096.35	462.57
1097.62	461.63
1098.75	467.04
1099.58	473.35
1096.53	471.79
1096.49	470.92
1097.73	470.89
1099.20	472.51
1092.45	476.29
1093.34	474.73
1095.28	477.64
1083.81	467.46
1088.92	477.53
1091.15	475.87
1091.30	480.83
1097.07	481.53
1105.50	475.43
1102.91	478.63
1107.64	477.31
1108.83	475.35
1112.26	480.53
1117.67	476.30
1119.88	477.15
1122.60	471.83
1117.32	477.87
1118.76	480.35
1119.86	483.44
1117.73	482.77
1123.53	484.81
1122.93	486.70
1122.42	486.39
1122.42	489.06
1122.63	488.89
1119.19	486.64
1115.50	479.21
1111.10	478.01
1108.31	477.52
1109.75	475.09
1100.99	470.91
1098.23	468.10
1101.96	466.15
1099.59	467.94
1095.73	467.29
1096.10	473.51
1096.70	474.56
1092.54	475.16
1090.38	478.69
1095.30	479.72
1098.97	477.80
1100.54	479.43
1102.46	480.73
1109.54	482.68
1114.10	478.75
1113.79	476.68
1113.01	476.06
1109.87	475.88
1112.45	479.67
1111.25	478.82
1113.58	480.05
1112.06	484.14
1109.56	483.92
1107.94	486.51
1106.01	486.03
1111.55	489.07
1111.54	485.72
1104.98	484.24
1104.87	484.13
1103.05	480.84
1105.83	480.63
1103.25	479.05
1103.28	480.49
1103.21	479.11
1102.02	482.66
1101.43	481.48
1099.69	478.69
1098.61	470.14
1099.41	466.72
1103.34	460.47
1105.14	464.39
1108.78	460.09
1109.23	457.73
1110.24	459.67
1111.38	456.47
1114.45	458.64
1114.90	458.48
1121.08	463.21
1116.02	461.36
1115.32	461.33
1111.16	460.21
1111.32	468.64
1110.28	475.05
1112.84	478.25
1115.52	476.42
1122.00	476.72
1122.17	477.09
1119.81	481.62
1117.03	482.85
1124.43	482.58
1130.88	488.39
