Object Tracking Data File Wed, Oct 12, 2022 5:53 PM
X (pixels)  	Y (pixels)  
679.41	251.41
675.33	253.55
678.31	254.47
676.78	247.80
678.56	246.67
679.86	244.94
679.72	244.78
683.27	241.66
688.00	239.43
682.21	239.51
683.01	237.28
675.38	236.19
672.62	241.34
660.92	235.01
658.07	233.78
654.93	232.04
650.47	232.10
652.51	230.36
652.49	230.68
649.97	232.74
648.74	234.49
649.35	244.29
651.19	249.79
645.11	248.31
642.15	247.31
644.18	253.14
647.19	259.14
646.10	258.14
645.70	257.45
647.17	251.95
645.80	250.40
644.21	252.88
637.69	255.62
638.13	256.16
644.27	261.74
648.42	270.86
653.76	273.32
653.44	275.21
649.64	268.73
651.23	261.74
654.19	266.10
647.96	269.20
643.46	264.30
645.76	269.34
641.53	271.56
640.33	267.73
633.75	266.10
629.08	264.57
622.48	268.02
621.27	272.93
621.21	270.27
626.66	266.13
632.74	263.78
630.78	266.72
632.29	260.35
623.25	256.60
621.39	259.59
619.15	260.47
617.00	261.88
609.50	263.28
605.55	263.79
602.08	263.92
599.97	264.38
598.33	267.43
603.07	270.73
601.74	273.66
603.12	274.35
604.07	268.53
599.90	278.14
599.55	278.53
604.09	279.48
606.84	283.60
601.15	291.01
595.87	286.75
601.40	286.87
603.67	282.51
608.33	279.00
607.44	282.06
598.00	284.44
595.91	285.67
589.66	294.48
593.97	292.41
600.94	297.43
604.17	299.35
614.24	299.24
607.26	300.11
601.18	297.95
600.77	288.17
605.51	296.88
596.33	297.15
595.53	296.04
595.97	296.52
592.97	297.13
589.60	302.24
586.23	295.13
584.70	298.90
583.78	294.59
580.20	294.38
575.98	298.14
572.70	306.88
570.31	305.19
566.78	311.44
567.36	314.46
568.71	311.23
562.00	309.05
557.28	310.44
552.35	313.88
550.07	313.83
549.00	320.52
547.67	328.86
553.61	326.56
556.15	319.89
557.79	320.29
556.33	317.94
555.55	320.11
555.53	319.65
559.01	315.65
554.36	316.92
553.66	329.53
549.10	329.55
